,California State Assembly,
Assembly Member,Matthew Harper,"Assemblyman Matthew Harper was first elected in November 2014 to represent the 74th Assembly District, including Huntington Beach, Costa Mesa, Irvine, Newport Beach, Laguna Beach, and Laguna Woods.

Before joining the Assembly, he served as the 59th Mayor of Huntington Beach.  In 2010, he was elected to the Huntington Beach City Council on a campaign platform of public safety, infrastructure, economic development, administrative and fiscal accountability, property rights, personal freedom and opposition to higher taxes.

For two years, Assemblyman Harper was the elected Chairman for the Young Republican Federation of California and served on their state board for over ten years. He was re-elected in 2012 to his fifth term to the Orange County Republican Party Central Committee. He currently serves on the executive committee for the OCGOP. Statewide, he served as the elected Associate Representative to the California Republican Party. As Associate Representative, he served as an ex-officio member of the state platform committee.

Assemblyman Harper was born in Long Beach, California and grew up in Westminster and Huntington Beach. As a graduate of Huntington Beach High School, he is a member of the HBHS Alumni Association. After transferring from Orange Coast College, the Assemblyman earned his Bachelor of Science degree in Public Policy and Management at the University of Southern California.

He enjoys surfing and takes pride in the perfect surf which can always be found in his district.  Matthew Harper and his wife Elizabeth are homeowners in Huntington Beach."
Assembly Member,Roger Hernˇndez,"Assemblymember Roger Hernˇndez has served the people of the 48th Assembly District since he was first elected in November 2010 and re-elected in November 2012. His duties and responsibilities include representing the cities of Azusa, Baldwin Park, Bradbury, City of Industry, Covina, Duarte, El Monte, Glendora, Irwindale, Monrovia, West Covina, and the San Gabriel Valley unincorporated areas of Los Angeles County, including Bassett, Charter Oak, Citrus, East Arcadia, Ramona, Royal Oaks and Valinda. 

In 2012, Assembly Speaker John A. P?rez appointed Assemblymember Hernˇndez to serve as Chair of the Assembly Committee on Labor and Employment. Assemblymember Hernˇndez also serves as Chair of the Assembly Select Committee on Post-Secondary Access and Matriculation. In addition to his Chairmanships, Assemblymember Hernˇndez serves on the Assembly Committee on Governmental Organization, Assembly Health Committee, Assembly Utilities and Commerce Committee, Assembly Select Committee on Workforce and Vocational Development and the Assembly Select Committee on California-Mexico Bi-National Affairs. Until 2012, Assemblymember Hernˇndez also served on the Assembly Committee on Water, Parks and Wildlife. 

As Chair of the Assembly Committee on Labor and Employment, Assemblymember Hernˇndez has fought to protect California's workforce and employers. Assemblymember Hernˇndez held several committee hearings to tackle the most pertinent labor issues employees? face. Most recent in 2013, Assemblymember Hernˇndez worked tirelessly to provide oversight for the Bay Area Rapid Transit's (BART) deaths of two maintenance workers, and for warehouse workers who are often subject to unscrupulous demands by their employers with threats of intimidation. In addition, Chair Hernˇndez authored several successful bills including AB 263, a measure to protect workers from unjust retaliation efforts by employers. These efforts are part of Assemblymember Hernˇndez's objective to provide safe, quality jobs to California's economy.

Assemblymember Hernandez is working diligently to create successful policies, both in the Assembly and during his tenure in local government. In 2013, Assemblymember Hernˇndez sent 12 bills to the Governor, 11 of which were signed into law. Recent laws championed by Assemblymember Hernˇndez include: added consumer protections for children under the federal Deferred Action for Childhood Arrivals program (DACA); protections from employer retaliation based on immigration status; installation of high energy efficiency light bulbs in street light fixtures; increased access to green space by allowing local governments to partner with local school districts; protecting small businesses in the garment industry against unlawful business practices; requiring financial literacy to be taught as part of the state's K-12 curriculum; and much more.

Assemblymember Hernˇndez has worked with his colleagues in the Legislature on rebuilding the state's world-renown class education system for our children; promoting health and wellness issues; creating jobs; breaking the state budget gridlock by advocating for long-term fixes for Californians; and protecting open spaces so residents of the San Gabriel Valley can have the quality of life that they deserve.

Prior to being elected to the Assembly, Assemblyman Hernˇndez was a Professor of Government at Rio Hondo and Citrus Community Colleges. He also served as Mayor and as a Councilmember for the City of West Covina. Prior to his tenure on the City Council, Hernˇndez served on the Rowland Unified School District from 1999 through 2003.
A son of immigrant parents, Hernˇndez was the first in his family to pursue higher education beyond high school and earned a Bachelor of Arts degree in Political Science from the University of California at Riverside. Later, Hernˇndez earned a Master of Arts degree in Public Administration from the University of La Verne, along with a Master of Arts in Governance Certificate from the California School Boards Association (CSBA). 

Assemblymember Hernˇndez is married to Susan Rubio, who serves on the Baldwin Park City Council. They currently reside in the San Gabriel Valley, and strive to improve the quality of life for all."
Assembly Member,Chris Holden,"Assemblymember Chris Holden begins his second term in the Assembly with a prestigious appointment as Assembly Majority Floor Leader.  He brings to the legislature a lifetime of experience in public service and business garnered during his many years on the Pasadena City Council and the Burbank-Glendale-Pasadena Airport Authority.

Holden was first elected to the California State Assembly in 2012, and was overwhelmingly re-elected in 2014 from a district that stretches from Pasadena in the West to Upland in the East and includes the communities of Altadena, Claremont, La Verne, Monrovia, Rancho Cucamonga, San Dimas, Sierra Madre, and South Pasadena.

In his first term in the Assembly, Holden had an impressive record of success with 13 of his proposed measures signed into law. These included providing more funds for domestic violence shelters, ensuring tax breaks for military personnel, helping small businesses and creating economic opportunity for pioneering start-up companies. Other bills give our communities more control over regulating massage businesses, provide law enforcement with the tools to fight human trafficking and increase efforts to protect open spaces and parklands for generations to come.

He established himself as a leader in strengthening the economic vitality of the San Gabriel Valley by organizing a transportation roundtable with Los Angeles Mayor Eric Garcetti and the mayors of 11 other cities to discuss the transportation priorities for the area, including the future of the Metro Gold Line extension.

Assemblymember Holden has a keen interest in building stronger trade relations with foreign countries. At the invitation of California Governor Jerry Brown and the Mexican government, Holden joined a conference on international trade in Mexico City which highlighted the growing economic bonds between Mexico and California. 

In addition to his appointment as Majority Floor Leader, Holden also serves on the Appropriations, Business & Professions, Judiciary and Local Government Committees. He was appointed Chair, of the Select Committee on Regional Transportation and Interconnectivity Solutions and sits on the Governing Board of the Santa Monica Mountains Conservancy.

Prior to his election to the Assembly, Chris Holden served 23 years as a Pasadena City Councilmember and Mayor. He was the youngest City Councilmember at age 28 and only the second African American to serve as Mayor. Throughout his years of public service, Chris has been a champion in creating jobs, preserving vital services, strengthening the economic vitality of the San Gabriel Valley and expanding light rail.  While on the city council, Chris served as a Commissioner and President of the Burbank-Glendale-Pasadena Airport Authority and on the Pasadena Light Rail Alignment Task Force.

Chris owns CHMB Consulting, a real estate firm and is a former owner of a Subway franchise. He is a lifelong resident of the district and graduate of San Diego State University. He lives in Pasadena with his wife, Melanie, and children: Nicholas, Alexander, Austin, Mariah and Noah.  Chris is the son of former State Senator and LA City Councilman Nate Holden."
Assembly Member,Jacqui Irwin,"Jacqui Irwin was elected in November 2014 to represent California?s 44th Assembly District, which includes the communities of Camarillo, Casa Conejo, Channel Islands Beach, El Rio, Lake Sherwood, Moorpark, Oak Park, Oxnard, Port Hueneme, Santa Rosa Valley, Thousand Oaks, and Westlake Village.

The top vote getter in two of her most recent elections for Thousand Oaks City Council, Jacqui Irwin has a history of working across party lines to help make her community one of the safest places to live and raise a family.

First elected to the City Council in 2004, Irwin served two terms as mayor of Thousand Oaks, where she was a strong advocate for the preservation of open space and responsible development.  As a councilmember, Irwin actively served on several boards and committees, including the Thousand Oaks Crime Prevention Task Force; Lynn/Olsen Road Traffic and Pedestrian Committee; Conejo Coalition for Youth and Families; Intergovernmental Relations Committee; Finance and Audit Committee and Capital Facilities Committee. Irwin plans to focus on these same issues while serving in the Assembly?especially working to ensure that all California families have the opportunities to thrive in safe communities.

Prior to her public service, Irwin was an employee of Teledyne Systems.  She also worked as an engineer at Johns Hopkins University Applied Physics Lab.

Irwin also serves on the executive board for the Ventura County Chapter American Red Cross, the executive board for Community House of Hope, the advisory board for Women?s Economic Ventures, the CSUCI Arts and Sciences Leadership Council, and has volunteered with the Girl Scouts of the Central Coast.  In addition to chairing the American Diabetes Tour for the Cure for three years, Irwin was co-chair of the American Cancer Society?s Bugatti Ball. Additionally, she is a member of the Thousand Oaks Rotary Club.

Her awards include having been recognized as the Woman of the Year for the Greater Conejo Valley Chamber of Commerce, and in 2011, the Girl Scouts of the Central Coast presented her with the Girl Scouts Woman of Distinction Award. In 2012, she was recognized by the California Legislator?s Women?s Caucus as Women of the Year for the 37th Assembly District.

While earning a Bachelor of Science in Systems Engineering from UC San Diego, Irwin was an All-American in swimming and attended national championships all four years.  A proud mother of three young adults, Jacqui Irwin and her husband Jon, who serves as Head of Global Business Development for Amazon Instant Video, have lived in Thousand Oaks for nearly 20 years.

Irwin chairs the Veterans Affairs Committee, and serves on the Accountability and Administrative Review, Agriculture, and Higher Education and the Jobs, Economic Development, and the Economy Committees.

She has also been appointed Assembly Speaker Toni G. Atkins to serve on the Commission on the Status of Women and Girls, State Public Works Board, the Inter-Agency Council on Veterans, and the Interstate Compact on Educational Opportunity for Military Children."
Assembly Member,Brian Jones,"Since his election to the Assembly in 2010, Assemblyman Brian Jones quickly earned a reputation as a strong fiscal conservative and a vocal advocate for a smaller, more responsible government.
 
He has been a fierce opponent of the rural fire ?fee? (tax) because of its disproportionate impact on East San Diego County and Southern Riverside County residents and rural citizens of California.  He has challenged special favors for public sector labor unions, and his robust defense of the Constitution and the Second Amendment has garnered state-wide attention.
 
During his first term in the State Assembly, Brian found himself shaking his head at the nonsense that surrounds the Legislature and would then ask, ?Are You Kidding Me??  This catchphrase turned into a weekly video segment, which has since garnered statewide media attention and speaking engagements.    
 
His articulate commentary and leadership abilities earned him the appointment as Chairman of the Assembly Republican Caucus in 2012. Brian currently serves as the Vice-Chair of the Assembly Business and Professions Committee and is a member of the Assembly Appropriations, Rules, Budget, Budget Subcommittee 1 on Health and Human Services, Budget Subcommittee 6 on Budget Process, Oversight and Program Evaluation, Joint Legislative Audit, and the Joint Legislative Ethics Committees.    
 
Brian?s deep convictions in free market principles, the need for government reform and tax relief comes from his service in both the public and private sector.  His background as a businessman and his service as Councilmember and Vice Mayor of Santee strengthened his resolve to restore decision making to the local level and to insure that tax monies meet community needs.
 
Brian has been a Santee resident since 1978; he attended Santee Elementary, Cajon Park Jr. High, and Santana High School.  After graduating, Brian attended San Diego State University where he earned a Bachelor of Science Degree in Business Administration.  He and his wife Heather both grew up in Santee, chose to begin their family there and have lived in the same community ever since.  In his spare time, Brian enjoys mountain biking, off-roading, swimming and spending time with Heather and his three children.
 
Brian has made it a priority to reclaim California?s status as the ""Golden State"" of opportunity, innovation, and jobs."
Assembly Member,"Reginald Byron Jones-Sawyer, Sr.","Reginald Byron Jones-Sawyer, Sr. most recently, the Director of Asset Management for the City of Los Angeles was elected in November 2012, to represent California's 59th Assembly District. The entire district lies within the county of Los Angeles and includes the communities of South Los Angeles, Florence-Firestone, Huntington Park and Walnut Park.

His history of public service includes serving as Chair of the LA County Small Business Commission, an Assistant Deputy Mayor for the City of Los Angeles and Vice President of SEIU's (Local 721) Los Angeles Professional Managers Association.

The Jones-Sawyer family were early pioneers in the civil rights movement. His uncle was one of the ""Little Rock Nine""--high school students who braved violent mobs to integrate Little Rock Central High School in 1957; one of the most important and documented events in our nation's history.

Jones-Sawyer earned a Bachelor of Science in Public Administration from the University of Southern California, and completed the prestigious Harvard University, Kennedy School of Government program, for senior executives in state and local government.

While serving as Assistant Deputy Mayor for the City of Los Angeles, Mr. Jones-Sawyer transformed the bureaucratic quagmire of the city's permit development process into a more ""customer-friendly"" agency that expedited the creation of the Magic Johnson Theater empire and Staples Center Arena.

Jones-Sawyer also served as chair of the Baldwin Hills Conservancy, USC Black Alumni, New Frontier Democratic Club and the Los Angeles Chapter of the American Society for Public Administration. He is the divorced father of three; Reginald, Jr., Lauren and Evan."
Assembly Member,Young Kim,"On November 4th, Young Kim was elected to the State Assembly to represent the 65th State Assembly District. She is the first Korean American Republican Woman ever to serve in the California state legislature, and the first Asian American to represent the cities of the 65th Assembly District in Sacramento.

Young Kim is a long time community leader in North Orange County with unique private and public sector experience that makes her an ideal representative for the 65th district.

She worked as Director of Community Relations and Asian Affairs for Rep. Ed Royce, where she served as a key liaison to the local communities within Rep. Royce?s congressional district, advised Royce on issues pertaining to the Asian community, and developed strategic plans to keep the community informed of Royce?s legislative priorities on both domestic and foreign affairs.

In the private sector, she?s been a businesswoman, financial analyst and controller. She worked as a Financial Analyst at a southern California Bank and Controller for a southern California manufacturing company. In 2013, Young Kim reformed a business she had owned and operated nearly 20 years earlier, YK Connections. YK Connections is a consulting company that assists new business owners and entrepreneurs looking to build or expand their business in Southern California and elsewhere in the United States.

Young is also a well-known Television Talk Show Host, having hosted ?LA Seoul with Young Kim? on KSCI-LA 18 from 1998 to 2005 and ?Real Talk? on Arirang-TV in 2011. In addition, she provided weekly commentaries discussing current affairs on Radio Seoul which is a 24-hour Korean radio station.

Young Kim has also been actively involved in numerous local organizations, including the World Affairs Council of Orange County, International Leadership Foundation, California Women?s Leadership Association, Fullerton Public Library Foundation, Korean American Federation of Orange County, Korean American Coalition of Orange County, and most proudly as a Working Mom and Spouse.

A resident of Fullerton, Young is married to Charles Kim who is a Founder and former National President of the Korean American Coalition. They are the proud parents of four children (ages 27, 24, 22, and 19) who attended or currently attend Fullerton?s public schools."
Assembly Member,Tom Lackey,"First elected as councilmember for the City of Palmdale in 2005, Lackey has been a strong advocate for affordable taxes, public safety, education improvements and job growth through private sector economic development.

Raised in the small high desert mining town of Boron, Lackey was active in the Boron High School student government in both junior high and high school and earned the rank of ?Eagle Scout? from the Boy Scouts of America.

After high school, Lackey served his church as a missionary for two years. Upon returning, he completed his Bachelor of Science degree in special education from Utah State University, and later was an elementary special education teacher.

Since beginning his 28-year career with the California Highway Patrol in 1985, he has worked in Los Angeles, El Cajon, Baldwin Park and the Antelope Valley.

Lackey first entered elected public service as a member of the Palmdale Elementary School District Board of Trustees. He went on to serve two terms as a councilmember for City of Palmdale from 2005 to 2014.

Lackey was a city appointee to the California Contract Cities Association, the Antelope Valley Crime Task Force, Antelope Valley Transit Authority Board, and the Antelope Valley Human Relations Task Force. During his school board years he was a member of the executive council of the Antelope Valley School Boards Association.

Tom Lackey and his wife Theresa, live in Palmdale with their two adopted children, Justin and Jani."
Assembly Member,Marc Levine,"Assemblymember Marc Levine was elected in November 2012 to represent the 10th Assembly District, comprised of Marin County and Southern Sonoma County.  This includes the North Bay communities of Corte Madera, Cotati, Fairfax, Kentfield, Larkspur, Mill Valley, Novato, San Anselmo, San Rafael, Sausalito, Sebastopol, Tiburon, Penngrove, Petaluma, Sonoma, West Marin, and parts of the City of Santa Rosa.

His priorities include funding higher education & K-12 and improving the quality of public education.  California?s precious water supply is also a high priority. We also have to improve our transportation infrastructure.  Additionally, we need to continue paying down California?s wall of debt and control spending in order to continue funding for vital public services. 

A former San Rafael City Councilmember, Levine has held leadership posts throughout his career helping to develop innovative solutions at the local, state, national and international levels. He currently chairs the Assembly Committee on Water, Parks, and Wildlife.  This committee is responsible for overseeing Water Bond expenditures, implementation of a long-term plan to protect our beautiful parks, and protecting endangered species, migratory birds, and other wildlife.

In his first term in the Assembly, Levine was the vice-chair of the Local Government Committee and chaired the Assembly Select Committee on Agriculture and the Environment.  In 2013-14, Governor Brown signed into law 23 bills authored by Levine including historic Marin County housing legislation.  Other laws written by Levine support online education at CSU campuses, increase use of recycled water, increase access to the California Coastal Commission meetings, create new charging stations for electric vehicles, expand markets for local businesses, and protect victims of violent crime.

Levine has also worked as an advisor and consultant to social enterprise and high tech startups. He developed award-winning technology for human rights organizations, in the process raising millions in funding from the U.S. State Department, the Soros Foundation and other funders to create technology that is now in use globally.  Additionally, Levine has worked to create innovative programs that use technology to foster learning in underserved classrooms.

Levine earned his Master?s Degree in National Security Affairs from the Naval Postgraduate School in Monterey, CA, and was recognized with a Special Act Award for his work to promote the elite graduate school around the world. While earning his Bachelor?s Degree in Political Science at Cal State Northridge, he was elected Chair of the California State Student Association representing over 400,000 students to the State Legislature and Board of Trustees.

Some of Levine?s past activities include: Vice Chair, Marin Telecommunications Agency; Governance Committee, MarinKids; Alternate Commissioner of the Bay Conservation and Development Commission; Alternate Director of the San Rafael Sanitation District and Central Marin Sanitation Agency; Member of the Executive Board of the California Democratic Party; Vice Chair of California Democratic Party Business and Professional Caucus; and Fellow of the ZeroDivide Foundation.

Assemblymember Levine lives in San Rafael with his wife Wendy and their two children."
Assembly Member,Eric Linder,"Assemblyman Eric Linder is a small business owner, a husband, and a father and resides in Corona, California.
 
Elected to the California State Assembly in 2012, Eric currently represents California?s 60th Assembly district which encompasses the cities of Corona, Eastvale, Jurupa Valley, Norco and Riverside.
 
For almost twenty years, Eric has worked in real estate, helping find ways to incorporate technology into the industry.
 
He has spent years helping people get the home of their dreams. But as the market turned in the Inland Empire and real estate began struggling, Eric took his technology background and founded an online communications firm, eMotiv Marketing. In fact, Eric?s firm built the websites for several Members of the Assembly Republican Caucus.
 
Eric previously owned and operated an aircraft rental and chartering company. This wealth of business experience has given Eric an appreciation for the damage that high taxes and over-regulation can have on small businesses that struggle enough just to get by.
 
Eric has also been a longtime champion against government waste. He was one of the Founders of the Corona Taxpayers Association, and has been part of business groups throughout Southern California for years.
 
The son of a Mexican immigrant father, family has always been important to Eric. In fact, Eric is raising his family in the same area he grew up in. Eric lives in Corona with his wife and three children. He attended Highland Elementary and Norco High, which are both in the District, while his oldest daughter is an alumna of Santiago High School and now attends California Baptist University. Eric has helped coach his kids? soccer and softball teams, and is a regular rodeo attendee.
 
Currently, Assemblyman Linder serves as the Vice-Chairman of the influential Assembly Committee on Government Organization, while also serving on other key policy committees including Transportation, Higher Education, and Local government."
Assembly Member,Patty Lõpez,"Assemblymember Patty Lõpez (D-San Fernando) was elected to the State Assembly in November 2014 to represent California's 39th Assembly District, which includes the communities of Pacoima, San Fernando, Arleta, Mission Hills, Sylmar, North Hollywood, Lake View Terrace, Los Angeles, Northeast Granada Hills, Sunland-Tujunga, and Sun Valley.

Before being elected to the State Assembly Lõpez was a former community representative for the North Valley Occupational Center. She was also a community activist for various community projects such as serving on site councils at San Fernando public schools. Moreover, Lõpez helped form a parents' grassroots group?Padres Activos SFV?to provide immigrant parents with greater information about their civil rights.

A mother to four girls, a grandmother and married to Juan Lõpez, Assemblymember Lõpez is committed to making a difference in the community, especially through advocating for a quality public education for all children."
Assembly Member,Evan Low,"Evan Low was elected to the California State Assembly in November 2014 to represent District 28 and is currently serving in the leadership team as Assistant Majority Whip.  At the age of 31, Assemblymember Low is the youngest Asian American legislator to have been elected to the Assembly in state history.  The district is located in the Silicon Valley and includes Campbell, Cupertino, Los Gatos, Monte Sereno, Saratoga, and the areas of West San Jose, Willow Glen, Cambrian, and Almaden Valley in San Jose.

Assemblymember Low is a lifelong resident of the Silicon Valley and has been a regional community leader. His work within the community and deep knowledge of issues local residents faced led him to run for Campbell City Council in 2006. He made history as the first Asian-American elected to Campbell?s City Council.

In 2010, Assemblymember Low also made history by becoming the youngest openly LGBT mayor in the country at the age of 26. While serving on Campbell?s City Council, he helped balance the city budget without eliminating vital services and increase government transparency by streaming City Council meetings online. Assemblymember Low promoted small business and job growth by cutting red tape and streamlining the licensing process for business owners.

Assemblymember Low championed and negotiated a pension reform plan that was successful and resulted in Campbell being the first city in the county to pass such a measure. 

He also served as a community college instructor teaching American Government and Political Science at De Anza Community College.

A Bay Area native, Low attended local public schools and earned degrees from De Anza Community College and San Jose State. He went on to graduate from the Senior Executives in State and Local Government Program at Harvard University."
Assembly Member,Brian Maienschein,"Brian Maienschein was elected to the California State Assembly in 2012, winning with a record number of votes. He was overwhelmingly re-elected to a second term in 2014.   
A proven leader who works across party lines, Brian serves as Chair of the influential Assembly Local Government Committee. Prior to being elected as an Assemblymember, Brian served eight years on the San Diego City Council.           
Brian was elected to the San Diego City Council in November 2000 with the most votes ever received by a non-incumbent, and was re-elected without opposition in 2004. Over the course of both elections, he received the highest number of votes ever cast for a City Council candidate.

During his tenure on the City Council, Brian preserved over 11,000 acres in the San Pasqual Valley from development. He secured the opening of State Route 56 and made numerous infrastructure improvements throughout his district.
He is most well-known for his outstanding response to the 2003 Cedar Fire and the 2007 Witch Creek Fire. Following both fires, he set up a one-stop shop for disaster victims. The plan he created became a national model for disaster response.
Brian also served as San Diego?s first Commissioner on Homelessness. He created a program that received numerous awards, including a Golden Watchdog award from the San Diego County Taxpayers Association for its success in reducing homelessness, while saving millions of taxpayer dollars.

Prior to serving on the City Council, Brian was the Executive Director of Youth Court, an innovative program that has forged a partnership between law enforcement, schools, and community groups to get first-time juvenile offenders back on track. For his work with the program, Brian received the District Attorney?s Crime Victims? Rights Award.

In the Assembly, Brian has continued to work to improve California?s education system and to provide students the tools they need to succeed. To help make college more affordable and accessible for California?s hardworking students, he co-authored a measure which would freeze tuition rates at our state universities.

Brian has also worked to promote economic growth and to protect jobs. He was named a Tech Champion by TechAmerica for his work to promote San Diego?s technology industry; he also received the Assembly Small Business Leadership Award from the California Small Business Association, and the Board of the California Small Business Roundtable in recognition of his commitment to and support of small business. 

A supporter of our military, Brian authored new laws to make it easier for veterans to attain military documents and to provide professional licenses to out-of-state military spouses stationed in California. 
To strengthen public safety and protect California?s communities, Brian authored several laws to require caregivers at the Department of Social Services to undergo an extensive criminal background check, to increase sentencing for assaults on disabled victims, and to double the sentence for the exploitation of minors.  For his work on behalf of children and adults with disabilities, Brian received the Assembly Advocate Award from Easter Seals.

Brian has continued his advocacy for our state?s homeless population by co-authoring the Veterans Housing and Homeless Prevention Act of 2014 and authoring many other measures aimed at serving these individuals.
Brian also teaches a course on Election Law at the University of San Diego Law School.

A graduate of the University of California, Santa Barbara and California Western School of Law, Brian?s proudest accomplishments are his two daughters, Taylin and Brenna."
Assembly Member,Devon Mathis,"In November 2014, Devon Mathis was elected to represent California?s 26th Assembly District which encompasses Tulare, Inyo and a portion of Kern Counties.

The middle child of six children, Devon was born and raised in the heart of California?s central valley. This all-American boy was raised with small town values and a love of his country.  After graduating from Reedley High School in 2001, Devon joined the United States Army National Guard where he served as Sergeant for nearly 10 years, including 2 combat tours to Iraq.  As Squad Leader of the 1114th Transportation Company, his leadership guaranteed 100% accountability and completion of all missions. 

During Devon's second tour in Iraq, he sustained major injuries from a road side bomb attack in 2008 which gained him a Purple Heart.  After returning home, Devon went through extensive VA therapy.  This road to recovery prepared him for a return to civilian life and to his college success.

In 2009, Devon started college at Porterville City College and soon became the Veterans Club President.  Phi Theta Kappa Honor Society also took notice of Devon?s abilities and made him their Secretary. Devon completed his studies in counseling and graduated with an AA in Social Science in 2011. 

When he transferred to Fresno State University, he changed majors from Psychology to Public Administration. Devon focused his studies on Public, Non-Government Organizations/Community Based Organizations, Government and Hospital Administration practices, earning himself  a BA in Public Administration and graduating as the President of the Veterans Fraternity.

While at Fresno State, Devon was recruited by the Golden Key Honors Society and by Omega Delta Sigma National Veterans Fraternity.  He lead several community service projects, fundraisers and community outreach programs. Devon also sat on discussion boards, was invited to be an expert guest on both the radio and news shows, among countless other activities in his community.

In 2012, Devon met his wife Aubrey.  They combined their families in 2014 and welcomed a set of twins, Maggie and Jefferson on December 1, 2014, roughly 9 hours before Devon was sworn into office as a California Assemblyman. The Mathis family has made their home in Visalia, CA.

Assembly Speaker Tony Atkins recognized Devon?s many life experiences which make him a valuable asset to the 2015-2016 Assembly and appointed him Vice Chair on the Veteran Affairs Committee. In addition to the Veteran Affairs Committee, Devon was appointed to serve on the Water, Parks, and Wildlife Committee, Agriculture Committee, and the Aging and Long-Term Care Committee. "
Assembly Member,Chad Mayes,"Over the course of his decade-plus years of public service, Chad Mayes is noted for bringing a spirit of responsive, servant leadership to every position he has held.  From his tenure as a Yucca Valley Town Councilman and as a board member of the San Bernardino Associated Governments, to leadership on the Statewide Board of Directors for League of California Cities, it?s clear that Chad?s ability to build relationships on both sides of the aisle benefit the communities he serves.

A governing conservative, it was Chad?s reputation for building consensus that resulted in his appointment to a number of key legislative committees including serving as Vice Chair of the Assembly Human Services Committee.

In addition to his Vice Chairmanship, Mayes was appointed to the Governmental Organization Committee as well as the Insurance committee.  Also noteworthy was Mayes? additional appointment to the important Assembly Rules Committee, which serves as the administrative body governing the Assembly, as well to the Special Committee on Legislative Ethics.

First elected to the Yucca Valley Town Council in 2002 then re-elected by wide margins in 2006 and 2010, Chad was twice chosen by colleagues to serve as Mayor. In each of his years as Councilman and Mayor, Chad?s leadership helped deliver a remarkable record of balanced budgets without tax increases.  At the height of the state and national financial crisis, Yucca Valley responded with a disciplined action plan that included significant budget cuts while still safeguarding the community?s rainy day fund. By the time Chad left the Town Council, the community had 40% of its budget in reserves.

As President of the Desert Mountain Division of the League of California Cities, Chad became a strong and visible advocate for shifting power away from state and federal government and back to local communities, an approach he will continue to champion in the State Assembly.

Chad?s commitment to his community also includes past service as a youth sports referee, a lifeguard and swim instructor. He also served as Treasurer of the Yucca Valley Chamber of Commerce.

Chad and his wife Shanon live in their lifelong hometown of Yucca Valley. The son of a pastor, he is a committed Christian and leader in his local church. A former Financial Advisor and Registered Tax Preparer, Chad shares ownership in a local small business with his brother.  Chad is a graduate of Liberty University."
Assembly Member,Kevin McCarty,"Assemblymember Kevin McCarty was elected to the California State Assembly in November, 2014 to represent Assembly District 7, which includes the communities of Sacramento, West Sacramento, Rio Linda, Elverta, and Antelope.

Prior to being elected to the California State Assembly, Kevin McCarty served on the Sacramento City Council for ten years. As a City Councilmember, McCarty led efforts to restore public safety, invest in public schools, protect the environment and promote good government measures.

McCarty worked to steer over $200 million in funding for new local libraries, parks and communities centers. In 2012, he led the effort to pass Measure U to restore public safety, and invest in libraries, parks and recreation services. He wrote common-sense laws to curb gun violence and promoted good government measures like the creation of a City Whistleblower Hotline program and an Independent Auditor. McCarty helped lead the Council to cut red tape and streamline city regulations to spur job growth.

An advocate for the environment, McCarty was awarded the Clean Air Leadership Award for his work on anti-smoking policies and clean air regulations. He led the $100 million Clean Energy Sacramento program to provide energy upgrades for homes and commercial buildings, which created around 1,500 jobs.

McCarty has also worked as a preschool advocate for Early Edge California, a statewide non-profit organization dedicated to expanding access to quality early education programs. He helped pass the California Kindergarten Readiness Act in 2010 to expand early education programs.

A lifelong Sacramentan, McCarty grew up in Sacramento and attended local public schools.  He attended American River College, earned a B.A. in Political Science from CSU Long Beach and an M.A. in Public Policy and Administration from CSU Sacramento.

McCarty lives in the Elmhurst neighborhood with his wife Leticia and his twin kindergarten-aged daughters, Victoria and Barbara."
Assembly Member,Jose Medina,"Assemblymember Jose Medina begins his second term in the Assembly with an appointment by Speaker Toni G. Atkins to chair the Assembly Committee on Higher Education. For the 2013-2014 legislative session, Mr. Medina chaired the Assembly Jobs, Economic Development and the Economy Committee, preserving California?s businesses. 

Medina was first elected to the California State Assembly in 2012, he represents California's 61st Assembly District, which consists of Riverside, Moreno Valley, Perris and Mead Valley.

During his first term in the Assembly, Medina led the effort to ensure the University of California, Riverside Medical School received $15 million of full and continuous funding through the state budget, to train students for crucial jobs in the health-care industry. In turn, those jobs will strengthen the region?s economy, as well as improve health care accessibility in the Inland Empire. Additionally, Medina passed legislation which assisted small businesses, helped protect seniors, and improved goods movement throughout the state.

Medina brings to the legislature a lifetime of experience in education from his many years as a teacher with the Riverside Unified School District, also serving as a member of the Riverside City Teachers Association, and a representative to the state council of the California Teachers Association (CTA).

Medina's eagerness to assist students beyond the classroom motivated him to pursue public office. He served as school board member on the Jurupa Unified School District Board of Education and completed three successful terms on the Riverside Community College District Board of Trustees.

During his tenure as a Trustee, he chaired the Teaching and Learning Committee and supported establishing independent colleges in Riverside, Moreno Valley and Norco. Medina recognizes the critical role higher education plays in supporting jobs and opening up the doors for opportunity. He graduated from UC Riverside with a bachelor's degree in Latin American Studies, and a master's degree in History.

Assemblymember Medina has two adult children, Jennifer and Matthew and two grandchildren, Elsa and Liam. He currently resides in Riverside with his wife, Linda."
