,California State Senate,
Assembly Member,Dr. Susan Talamantes Eggman,"A leader with decades of experience in public service and community-building, Dr. Susan Talamantes Eggman was elected in November 2012, and re-elected in 2014, to represent the 13th Assembly District, which draws together the San Joaquin Delta communities of Stockton, Tracy, Thornton and Mountain House.

Susan grew up on her family<'-TOKEN>s small almond orchard and apiary in Turlock. It was a farm-to-market family business, with Eggman<'-TOKEN>s father and brother tending the orchard and hives, her mother keeping the books, and later her partner, Renee Hall, bottling and selling the honey at farmers markets in San Francisco. Though much of the open space and farmland Eggman explored on horseback as a child has since been paved over, her family is still farming.  Continuing three generations of growing and beekeeping in California<'-TOKEN>s Central Valley, with more than 40 acres of almonds and 2000 beehives, the Eggman family is connected to a great variety of agriculture, including tree fruit and livestock.

Susan joined the U.S. Army out of high school and served four years as a medic. After her service, she attended California State University, Stanislaus, where she completed a bachelor<'-TOKEN>s degree in psychology and a master<'-TOKEN>s degree in social work. She worked as a mental health provider and medical social worker before completing a Ph.D. at Portland State University. An associate professor of social work at California State University, Sacramento, Susan has taken a leave of absence to serve on the State Assembly. A lifelong learner, Susan passed the Licensed Clinical Social Worker examination shortly after assuming office.

The chair of the Assembly Democratic Caucus, Susan also serves on the committees on Agriculture, Appropriations, Business, Professions and Consumer Protection, and Utilities and Commerce. She was elected in January 2015 to serve as the chair of the California LGBT Caucus.

A former member of Stockton<'-TOKEN>s City Council <--TOKEN> and the first Latina elected to that office <--TOKEN> Susan is committed to policies that advance the good of her whole community, including improving access to health care, expanding educational opportunities and addressing her district<'-TOKEN>s critical need for resources to address crime. She has a proven record of working across partisan divides to find working solutions to real problems.

Susan and Renee, her partner for more than 30 years, live in Stockton<'-TOKEN>s Victory Park neighborhood, where they are raising Renee<'-TOKEN>s niece, Eme."
Assembly Member,Jim Frazier,"Jim Frazier, a local small-business owner, was elected to the California State Assembly in November, 2012 to represent the 11th Assembly District. The 11th District encompasses portions of Solano, Contra Costa and Sacramento counties and includes the following cities, towns and areas: Antioch, Bethel Island, Birds Landing, Brentwood, Byron, Collinsville, Discovery Bay, Fairfield, Isleton, Knightsen, Locke, Oakley, Pittsburg (partial), Rio Vista, Suisun City, Travis AFB, Vacaville and Walnut Grove.

Frazier became involved in public service after a family tragedy. On December 16, 2000, his two daughters were in a head-on auto collision caused by black ice on their way to Lake Tahoe. The accident was fatal for his oldest daughter, and left his younger daughter in critical condition. Grief-stricken, Frazier and his wife Janet worked to help prevent other families from undergoing the same painful experience. In their research, they learned that there had been 143 accidents and numerous fatalities on the same two-mile stretch where his daughters<'-TOKEN> accident had occurred. Jim and Janet succeeded in convincing Caltrans to widen the median and install a new pavement that would prevent black ice from forming on that part of the highway. This unfortunate tragedy sparked Frazier<'-TOKEN>s interest in highway safety and transportation infrastructure improvements, which led to his further involvement in public service.

In 2008, Frazier was elected to the Oakley City Council after serving on the city<'-TOKEN>s Planning Commission and as a Commissioner on the Contra Costa Transportation Authority<'-TOKEN>s Citizen Advisory Committee. He later served as the Mayor of Oakley from 2011-2012. As a local government official, Frazier delivered $83,000,000 for Highway 4 Bypass improvements, creating 1,400 new jobs; $50,000,000 to fund highway 160 improvements, creating 700 new jobs; and $33,000,000 to fund the Sand Creek Interchange. Frazier not only made his mark in transportation, he also fought for the successful opening of a first-of-its kind medical clinic in Oakley and helped build the area<'-TOKEN>s first <""-TOKEN>all-abilities<""-TOKEN> playground for children with special needs.  Frazier also served as Chair of TRANSPLAN, was Chair of the State Route 4 Bypass Authority, and a member of the E-BART Advisory Committee. He received the Oakley Citizen of the Year Award, the Threads of Hope Award, and the Bay Area Jefferson Award for Public Service.

Upon joining the Legislature in 2012, Frazier was appointed as Chair of the Assembly Accountability and Administrative Review Committee by Speaker John A. PÇrez. He was also appointed as a member on the Assembly<'-TOKEN>s Insurance Committee, Transportation Committee, Water, Parks and Wildlife Committee, and the Select Committee on Protecting California<'-TOKEN>s Food Safety Programs. Frazier also serves as an Advisory Member of the State Public Works Board.
 
Since being elected, Frazier has made it his mission to be accessible to all of his constituents.  To accomplish that, he has held numerous community coffees and mobile district offices.  Frazier also continues to be a strong advocate for the Sacramento-San Joaquin Bay Delta. As a member of the Delta Protection Commission, his continuous efforts are focused on the protection of fish and wildlife, safeguarding farmers and their flourishing agricultural industry, the promotion of water conservation and improved water quality, the responsible management of land use and development, and the preservation of the environmental and economic viability of the Delta. 
 
In his first year of office, five of Frazier<'-TOKEN>s bills were signed into law by the Governor:
 
AB 287: This bill allows the names of veterans who were not included on the original California Vietnam Veterans Memorial in Capitol Park to be added, including veterans who have died from injuries or illness directly related to their service in the war.
 
AB 417: This bill promotes using bikes as an alternative means of transportation by simplifying the approval process for bicycle transportation plans. 

AB 513: This bill helps California recycle used tires safely and efficiently by combining them with asphalt binder to create a road paving material. This road paving material has been proven to reduce road noise, to be strong and durable, save money, and provide an efficient way to recycle tires.

AB 1070: This bill makes technical changes to ensure that project investments in transportation bonds comply with state, federal, and environmental requirements as projects are planned and built.

AB 1336: This bill protects employees from employer abuses, and protects the public by ensuring that construction is being done by workers with appropriate training and that they are being properly compensated for their work.
 
In the coming years, Frazier<'-TOKEN>s priorities will include the ongoing protection of the Delta, repairing the infrastructure of roads and highways, limiting hikes in college tuition, maintaining funds for local public safety, restoring funding towards special needs programs and encouraging job creation.

Assemblymember Frazier resides in Oakley with his wife of 35 years, Janet Frazier, and his beloved black Labrador, Rocky."
Assembly Member,Beth Gaines,"Beth Gaines was elected to the Assembly in 2011 and represents the people of 6th Assembly District, which includes portions of Placer, El Dorado, and Sacramento counties.
 
Beth was born and raised in Sacramento County, graduated from La Sierra High School in Fair Oaks, and then went on to study at the University of California, Irvine.
 
She currently co-owns Gaines Insurance, a family operated business that she runs with her husband State Senator Ted Gaines.  Previously, Beth worked in sales and marketing for a medical supply company and managed the local branch of a national workforce employment firm.  Beth has also previously served as a teacher for Placer County pre-schoolers.
 
Assemblywoman Gaines currently holds the position of Whip in the Assembly Republican Caucus. Beth is also the Vice Chair of the Insurance Committee and Housing and Community Development Committee, and serves on the Accountability and Administrative Review Committee, Water, Parks and Wildlife Committee, and Joint Legislative Committee on Emergency Management.
 
Shortly after her first election, she founded the Beth Gaines Northern California Women<'-TOKEN>s Forum. Now in its 5th year, the NCWF brings together professional women, community advocates volunteers, wives, mothers and students from around the region to foster and promote women in business and in the community. This non-partisan event was created to share a positive message of how women can and have succeeded as leaders and partners for change in their communities and in their personal lives.
 
Recently, Beth has been named to the Board of Directors of Women in Government, a national, non-profit, non-partisan organization that provides leadership opportunities, networking expert forums, and educational resources to women state legislators.
 
Beth has also volunteered her time for numerous charities and groups, including the Child Abuse Prevention Council and Acres of Hope. She has also served as a Sunday School Teacher at Bayside Church in Granite Bay and is a member of the local chapter of the Federation of Republican Women.
 
Beth loves the outdoors and the recreational opportunities provided in the 6th Assembly District. She learned to hunt at the age of 12 and enjoys water skiing with her family.
 
Beth and Ted live in El Dorado Hills, where they raised six children now between 13 and 26 years old.  They have been married for 30 years."
Assembly Member,James Gallagher,"Elected to the California State Assembly in 2014, Assemblyman James Gallagher is honored to represent the residents of the 3rd Assembly District. The district includes Butte, Tehama, Yuba, Sutter, Glenn, and Colusa Counties.  As a newly elected legislator, James has already been recognized for his leadership by his selection as Deputy Republican Floor Leader.  He also serves as the vice-chair of the Assembly Agriculture Committee; and is a member of the Assembly Appropriations, Environmental Safety & Toxic Materials, and Judiciary Committees. 

James has an extensive resume of public service prior to his election to the State Assembly. For the last six years, he has proudly served his community as a member of the Sutter County Board of Supervisors.   During his tenure there, he worked on a multitude of regional committees which have given him exposure to numerous issues facing his constituency.  His leadership and outside-the-box thinking helped in implementing public pension reform, streamlining public services and fees, and heading the effort to improve our levees and protect citizens from devastating floods.

James is especially proud of his successful effort to stop a plan to build the Cherokee Canal bypass, which would have taken thousands of acres of productive agricultural land out of production.    He also led the fight to reform federal floodplain regulations that impose burdensome insurance premiums and building restrictions on Sacramento Valley businesses and family homes.

James earned his Bachelor of Arts Degree at UC Berkeley, where he was Editor-in-Chief of The Patriot, a nationally recognized conservative news magazine, and was elected to the student senate.   Upon graduation, he served in the prestigious Assembly Fellowship Program in Sacramento.  During the program he gained experience in state government, and worked on issues ranging from increasing timber harvest to improving our community college system.  Upon completion of the fellowship, he obtained his law degree from UC Davis, graduating at the top of his class.  Gallagher is a partner in his family<'-TOKEN>s farming business as well as a practicing attorney, focusing on agricultural law.

James is married to his high school sweetheart Janna, and together they have three young children.  He is the sixth generation of an Irish immigrant farming family that first settled in Sutter County in the late 1800s.  James and Janna make their home in Sutter County where they are raising the seventh generation of Gallaghers."
Assembly Member,Cristina Garcia,"Assemblymember Cristina Garcia was elected to the state Assembly in November 2012 and re-elected in 2014, representing California<'-TOKEN>s 58th Assembly District, which includes the cities of Artesia, Bellflower, Bell Gardens, Cerritos, Commerce, Downey, Montebello, Pico Rivera and Norwalk.
In 2014, she became a vital part of Assembly Speaker Toni Atkins new leadership team when she was named Assistant Majority Floor Leader. She was also elected Vice-Chair of the Legislative Women<'-TOKEN>s Caucus. In addition, Assemblymember Garcia currently serves on the following legislative committees: Government Organization, Judiciary, Ethics, Water Parks and Wildlife, Natural Resources and Utilities and Commerce.

In addition to being a legislator, Assemblymember Garcia is also a Commissioner on the Commission on the Status of Women and Girls, working at the forefront of making impressive change for California<'-TOKEN>s women and girls.

Before being elected to public office, Cristina Garcia had already staked her claim as a warrior for ethical conduct in local and state government. When the City of Bell corruption scandal broke, gaining national attention, Bell residents turned to Cristina to take action. She worked with concerned citizens to form the Bell Association to Stop the Abuse (BASTA), a local advocacy organization that forced Bell<'-TOKEN>s corrupt officials out of office and ushered in accountability and transparency for the first time in the city<'-TOKEN>s history.

As a legislator, under a black cloud of corruption that hung over the state Capitol, Assemblymember  Garcia introduced a wide ranging ethics and transparency package of bills, the <""-TOKEN>Political Conduct, Ethics and Public Trust Acts of 2014,<""-TOKEN> written to reform our political structure and help to restore the public<'-TOKEN>s trust in their government. Through the political turmoil, she succeeded in her legislative efforts and was rewarded when Governor Jerry Brown signed five of her reform measures into law.

AB 1673 - Eliminating Influence Peddling: prevent lobbyists from hosting political fundraisers at their homes and offices.

AB 1666 - Penalties & Bribes: would double the existing restitution fines amounts and prohibit the use of campaign funds to pay a restitution fine under this section.

AB 1692 - Personal Use of Campaign Funds: to prevent campaign funds from being used to pay for fines that are the result of abuse of personal use of campaign funds laws.

AB 1596 - Vote by Mail:  require all vote-by-mail applications, when completed, to be mailed directly to the county registrar<'-TOKEN>s office and not to middlemen or political campaign organizations.

AB 1596 was Assemblymember Garcia<'-TOKEN>s <""-TOKEN>There Ought to be a Law<""-TOKEN> contest winner in 2014.

AB 2040 - Detailed Disclosure of Government Compensation: requires salary details to be publically disclosed on the local government websites. 

Equal to being a tireless activist for higher ethical standards in government, Cristina is a passionate advocate on issues concerning Women and Children. Today, as a statewide leader, Assemblymember Garcia continues her efforts to protect and educate our state<'-TOKEN>s children and is dedicated to empowering women on all levels. This includes being a mentor to encourage more women to run and hold positions in public office.

Assemblymember Garcia launched her Young Legislator<'-TOKEN>s program in 2014 to mentor high school students in her district to become the leaders of tomorrow. The Young Legislators are given hands-on experience, working within their communities, as they participate in local events hosted by Assemblymember Garcia<'-TOKEN>s district office. Young Legislators who successfully complete the program travel to the State Capitol in Sacramento where they participate in bill development, mock committee hearings and a floor session in the State Assembly chambers.

A math teacher for thirteen years prior to joining the Assembly, Cristina taught  statistics at the University of Southern California, mathematics at Los Angeles City Community College and taught middle school and high school mathematics through the Jaime Escalante Program at East Los Angeles Community College and at Huntington Park High School.

As a teacher, Cristina understood the damage to students that bullying created, on both an emotional and physical level. This inspired her in 2012 to author AB 256, Cyber-Bulling legislation giving educators the authority to discipline students who engage in cyber bullying - harassment by electronic means <--TOKEN> on, or away, from the school campus. AB 256 was signed into law by Governor Brown in 2013.

Cristina lives in the in the Southeast Los Angeles community of Bell Gardens, where she was raised and attended local public schools. She went on to earn a Bachelor<'-TOKEN>s Degree from Pomona College, a Master<'-TOKEN>s Degree and a Secondary teaching credential from Claremont Graduate University and is presently a doctoral candidate at USC.

Cristina has been recognized by California Forward with the distinguished California Forward Thinkers Award, previously earned the Distinguished Woman of the Year Award from the California State Assembly. In 2013 the Latino Journal & CAFê de California, presented the Spirit of Latina Award to Assemblymember Garcia for her <""-TOKEN>exemplary work to strengthen California<'-TOKEN>s Democracy and advance the representation of Latinas in Public Service.<""-TOKEN>"
Assembly Member,Eduardo Garcia,"Eduardo Garcia was elected in November 2014 to represent California<'-TOKEN>s 56th Assembly District, which includes cities and unincorporated communities in eastern Riverside County and Imperial County, including Blythe, Brawley, Bermuda Dunes, Calexico, Calipatria, Cathedral City, Coachella, Desert Hot Springs, El Centro, Holtville, Imperial, Indio, Mecca, Oasis, North Shore, Salton Sea, Thermal, Thousand Palms, and Westmorland.

Garcia was first elected to the Coachella City Council in November 2004. In 2006, at the age of 29, he became Coachella<'-TOKEN>s first elected Mayor. Under his leadership, the City of Coachella has transformed into an emerging social, economic, political and cultural center.

Garcia<'-TOKEN>s administration set a strong foundation for the city<'-TOKEN>s growth by directing large city-wide park renovation, expanding green space, building, repairing and resurfacing streets, and a major overhaul of the city<'-TOKEN>s Downtown District.

As Mayor, Garcia worked with leaders and agencies to procure outside grants and regional funding for several high profile capital improvement projects for the city. In fact, the city of Coachella invested over $200 million in public works projects during Garcia<'-TOKEN>s tenure.

Garcia worked to expand health and wellness programs in his community. His work to build a healthier Coachella through a partnership with the Flying Doctors and the Clinton Foundation earned recognition from the California Endowment for its exemplary model.

A graduate of local public schools, Garcia attended Coachella Valley High School and the University of California, Riverside. He also completed the <""-TOKEN>Senior Executives in State and Local Government<""-TOKEN> Public Administration program from the John F. Kennedy School of Government at Harvard University and recently earned his Masters Degree from the University of Southern California School of Policy, Planning and Development.

He is a proud father, husband and life-long resident of the Coachella Valley."
Assembly Member,Mike Gatto,"Mike Gatto was elected to represent the 43rd District in a Special Election in June 2010.  He is a lifelong resident of the district, born in Franklin Hills, and attending schools in Glendale, Los Feliz, and Silver Lake.  Mike graduated from UCLA with a degree in History, and Loyola Law School (at night), magna cum laude.

Mike has worked extensively in government and the private sector.  For years, he served as District Director to a United States Congressman representing the San Fernando Valley and Burbank.  He also served in the administrations of two Los Angeles Mayors.  In the private sector, Mike worked as an attorney representing California<'-TOKEN>s small businesses, assisting them with issues they had with government bureaucracy.  Mike has also taught English and given his time extensively to legal clients and non-profit entities who could not otherwise afford an attorney.

Mike is married to Danielle Gatto. They have two daughters, Elliana Vivienne and Evangelina Felicity."
Assembly Member,Mike A. Gipson,"Mike A. Gipson, first elected to the California State Assembly in November 2014, represents the 64th Assembly District that includes the communities of Carson, Compton, Gardena, Harbor Gateway, Lynwood, North Long Beach, Rancho Dominguez, South Los Angeles, Torrance, Watts/Willowbrook and Wilmington.

In various capacities, Assemblymember Gipson has been serving the people of the 64th District his entire life. As a peace officer, legislative staff, elected official, and labor organizer, Gipson<'-TOKEN>s dedication to the residents of the South Bay is a testament to his heart and enthusiasm for helping others.

Born and raised in Watts, Gipson<'-TOKEN>s passion for public service was instilled at a young age. The son of a labor activist, Gipson learned the value of hard work, solidarity and leadership. As a youth pastor at the One Lord, One Faith, One Baptism Christian church, Gipson helped teach the importance of community and giving back to others. These lessons have continued to lead him throughout his life.

Eager to serve, Gipson became a police officer for the Maywood Police Department after graduating from the South Bay Police Training Academy. During his time protecting the peace, Gipson gained invaluable experience about local issues while helping others under extreme duress. After leaving the police force, Gipson earned his Bachelor of Science in Business/Management from the University of Phoenix and his Associate of Arts degree from the Los Angeles Southwest College.

Gipson<'-TOKEN>s introduction into politics came as a Field Representative for L.A. Councilman Robert Farrell and Mark Ridley-Thomas, and as Staff Aide to Compton<'-TOKEN>s Congressman Mervyn M. Dymally and State Senator Bill Greene. Gipson would eventually serve as Chief of Staff to Chairman Jerome E. Horton, the first African-American elected to the California State Board of Equalization, and whose district currently serves 8.5 million residents. A reliable problem-solver, Gipson established a reputation as a valuable resource for those he worked for and the constituents they represented.

As a resident of Carson, Gipson served on the Public Safety and the Human Relations Commissions, and as a board member of Carson<'-TOKEN>s Workforce Investment Network. He was also appointed as the youngest to chair the County of Los Angeles Community Action Board, which distributes $10 million annually in Community Service Block Grant funds.

Additionally, Gipson formerly served as Vice President of the Advisory Board for the State Public Utilities Commission. He also served as the Chairman of the Board of Director for Positive Imagery Foundation, Inc., a Los Angeles-based agency that deals with HIV/AIDS and other STDs prevalent in the African-American and Latino communities.

Serving on the Carson City Council from 2005 to 2014, Assemblymember Gipson was selected by his peers to serve as the Mayor Pro Tem. While on the City Council, Gipson was at the helm of several successful endeavours targeting at-risk youth. He established the Midnight Basketball program, which was a highly successful at removing children from the streets during summer nights. Gipson also started two program conferences to mentor at risk youth: S.O.S (Saving our Sons) and R.O.S.E. (Reaching Out to our Sisters Everywhere). These organizations have provided mentorship and job training for hundreds of children over the years.

Passionate about ensuring that those who educate our children are treated with dignity and respect, Gipson has recently applied his leadership skills as an area organizer for the 48,000-strong United Teachers Los Angeles (UTLA). Prior to working for UTLA, he was the Legislative and Political Director for Service Employees International Union (SEIU) Local 399, the state-wide Political Director for Justice for Janitors 1877 SEIU and a Business Representative for SEIU Local 99.

Gipson is a devoted husband, and still lives in Carson with his wife, LeCresha. They have two sons, Devon and Jordan."
Assembly Member,Jimmy Gomez,"Jimmy Gomez was elected in November of 2012 to represent California<'-TOKEN>s 51st Assembly District, which includes East Los Angeles and the neighborhoods of Glassell Park, Lincoln Heights, Highland Park, El Sereno, Echo Park, Cypress Park, Filipino Town, Chinatown, Montecito Heights, El Pueblo, Eagle Rock, Elysian Valley, Mt. Washington, Atwater Village, and Silver Lake.

Gomez was born and raised in Southern California and is the youngest of six children. His parents and four of his siblings immigrated to California from Mexico in the early 1970s. They brought with them a strong sense of family and a strong work ethic. To make ends meet, his mother and father often worked multiple jobs.

After graduating from high school, Jimmy found work where he could <--TOKEN> at a fast-food restaurant and a local superstore. But instead of working a 9am to 5pm schedule, he worked from 5pm to 9am the next day. After several months of working both jobs, and with the memory of his parents<'-TOKEN> struggle to make ends meet...something just clicked! He now clearly understood the need of a good job with benefits, and most importantly a quality education.

With this newfound clarity, Jimmy enrolled in community college and ultimately transferred to UCLA, where he graduated magna cum laude and received a BA in Political Science with a minor in urban planning. Ten years after graduating from high school, he earned a Master<'-TOKEN>s in Public Policy from Harvard University's John F. Kennedy School of Government.  

Gomez recognizes that his story today, although not unique, is a lot harder to achieve and out of reach for far too many people because of the struggling economy and the state budget deficit. He believes this is unacceptable and our families deserve better.

To help rebuild California, Gomez will fight to increase access to quality education and good jobs by providing leadership based on working class values, pragmatic problem solving skills and a dedication to the empowerment of individuals and communities.

As a Director for the United Nurses Associations of California, Gomez empowered nurses to better advocate for their patients through the legislative process and community service. He helped pass legislation to facilitate graduation of community college nursing and allied health students, and established a partnership with a community non-profit to promote healthy living for inner-city children.

Gomez<'-TOKEN>s previous work experience includes the American Federation of State, County and Municipal Employees (AFSCME), the National League of Cities, the Democratic National Committee, the office of former L.A. City Councilman Michael Feuer, and the office of former Congresswoman Hilda Solis.

Gomez lives in Echo Park with his wife Mary, and dog Austin."
Assembly Member,Lorena Gonzalez,"Assemblywoman Lorena Gonzalez was elected in May of 2013, promising to fight for our state's working and middle classes, and she hasn't stopped yet. In her first three months in office, Lorena authored two bills that empowered California's immigrant communities by providing them safeguards against immigration fraud (AB 1159) and allowing qualified DREAMers who pass the State Bar exam to practice law, regardless of their immigration status (AB 1024). Then, in 2014, Lorena authored historic legislation to allow 6.5 million Californians the ability to earn paid sick leave. When AB 1522 was signed by Governor Brown, California became the first state in the nation to guarantee earned sick days for every single private sector worker.

In her first legislative session, Assemblywoman Gonzalez also passed legislation prohibiting HOAs from fining homeowners for replacing grass lawns with drought resistant landscaping. Lorena authored bills to strengthen consumer protection for people who buy insurance products, created the first workplace bullying training requirement in the nation and ensured that special elections in San Diego will cost less and engage more voters.

The daughter of an immigrant farmworker and a nurse, Lorena learned the value of hard work and determination at an early age. After graduating from public school in San Diego County, she earned a Bachelor's Degree from Stanford University, a Master's Degree from Georgetown University and a Law Degree from UCLA. She is a member of the California State Bar.

Prior to being elected to the Assembly, Lorena was the first woman and first person of color to be elected CEO and Secretary-Treasurer for the San Diego and Imperial Counties Labor Council, AFL-CIO since the organization's inception in 1891. Lorena also previously worked as the Senior Advisor to California's Lt. Governor Cruz Bustamante and she served on the California State Lands Commission and the California Coastal Commission.

Assemblywoman Gonzalez currently serves as the Chair of the Select Committee on Women in the Workforce, and as a member of the Local Government Committee, the Health Committee, the Insurance Committee, the Environmental Safety & Toxic Materials Committee, and the Public Safety Committee.

For her work in the community this past year, Lorena received the California State Bar Association's first Presidential Recognition Award for Public Service, the Distinguished Public Service Award from La Cooperativa Campesina de California, and was named the Neighborhood Market Association's 2014 Public Official of the Year.

Nonetheless, Lorena's most cherished title is that of mother. Her daughter, Tierra, is studying Journalism at New York University and her son, Antonio, is in middle school in San Diego. Lorena lives in the City of San Diego's City Heights neighborhood."
Assembly Member,Rich Gordon,"Assemblyman Rich Gordon represents the heart of the Silicon Valley. He was first elected in November 2010 and represents the 24th Assembly District on the San Francisco Peninsula in San Mateo and Santa Clara Counties.

Assemblyman Gordon chairs the Assembly's Rules Committee, and is a member of the Committees on Budget, Budget Subcommittee #3 on Resources and Transportation, Elections and Redistricting, Local Government and Privacy and Consumer Protection. Assemblyman Gordon also chairs the Select Committee on Water Consumption and Alternative Sources, as well as the Select Committee on Waste Reduction and Recycling in 21st Century California. Additionally, he chairs the Bay Area Caucus, and is a member of the Environmental and LGBT Caucuses.

Assemblyman Gordon previously served for 13 years on the San Mateo County Board of Supervisors. As a County Supervisor, he worked to achieve government accountability by leading in the development of the County's outcome-based budgeting and was instrumental in the formation of regional partnerships including the Housing Endowment and Regional Trust. Assemblyman Gordon was actively involved in the creation of the Children's Health Initiative, which guarantees health care coverage for children. In 2008, he served as President of the California State Association of Counties, which represents all 58 counties.

Assemblyman Gordon also served as a member of the San Mateo County Board of Education for five years. Prior to public service, he was a minister in the United Methodist Church, and for twenty years he worked in the non-profit sector where he was the founder and Executive Director of Youth and Family Assistance.

As a legislator, Assemblyman Gordon has been committed to ending the gridlock in Sacramento by trying to fix the dysfunction of the state's governing system and structure, ensuring that California invests in the education of its children, maintaining the state's position as a leader in environmental protection, and fighting for all of California's residents having access to healthcare. Recognizing that heightened partisanship has limited the ability of legislators to fully serve their constituents, Assemblyman Gordon has worked to forge relationships on both sides of the aisle and across all political spectrums. He has also seen personal success in Sacramento where in his first term, Assemblyman Gordon was among the most productive legislators - having 26 of his 35 bills signed into law by the Governor. Success continued in his second term, - sending 25 of 39 introduced bills to the Governor and seeing 24 of those bills signed. In 2014, Assemblyman Gordon saw 17 of his bills signed by the Governor, the highest number among all Legislators.

Assemblyman Gordon is a fourth generation Californian - born and raised in San Mateo County. He completed high school in Orange County, and graduated from the University of Southern California. He has a Masters in Divinity from Garrett Theological Seminary at Northwestern University. He resides in an unincorporated neighborhood in Menlo Park with his husband, Dr. Dennis McShane. Assemblyman Gordon and Dr. McShane have been in a committed relationship since 1982 and were married on August 16, 2008."
Assembly Member,Adam Gray,"Adam Gray, a small business owner and former legislative aide, was elected in November 2012 to the  21st Assembly District, which includes all of Merced County and parts of Stanislaus County including parts of Modesto and the communities of Ceres, Newman and Patterson.

Gray learned common sense values like hard work and responsibility while growing up in Merced, in the heart of the San Joaquin Valley. Adam<'-TOKEN>s strong roots in the agricultural community began with his grandparents. His grandfather, Ernest Denault, established a local business, Merced Dairy Supply, serving the Valley<'-TOKEN>s growing dairy industry. The business continued to thrive under Adam<'-TOKEN>s father, Robert Gray. Adam<'-TOKEN>s first job at the dairy supply store was washing storage barrels and loading feed bags, an experience that helped him learn about the local economy from the ground up.

Gray attended public schools in Merced and was a member of Golden Valley High School<'-TOKEN>s first graduating class. He worked his way through college, splitting time between the dairy supply store and Merced Community College, before furthering his education at UC Santa Barbara.

Inspired to serve his community, Gray returned to Merced to work with then Assemblymember, and former Congressman, Dennis Cardoza. Gray collaborated with Cardoza to promote the Valley<'-TOKEN>s agricultural heritage and protect its economy. At the time, farmers were plagued with soaring energy prices, rolling blackouts, low rainfall and low-cost imports flooding the market. Gray helped exempt fuel and farm equipment from the state sales tax, otherwise known as the <""-TOKEN>Tractor Tax,<""-TOKEN> which encouraged farmers to upgrade their equipment and save jobs. He also worked on legislation to provide tax incentives to small businesses, and to protect family farms from scrap metal theft.

Most recently, Gray helped pass a law that provides tax credits to first-time homebuyers and protects homeowners against fraudulent loan modifications.

Gray lives in Merced, where he managed a small public affairs and communications firm and served as a course assistant/lecturer on the state legislature at UC Merced."
Assembly Member,Shannon Grove,"Shannon Grove represents the 34th Assembly District encompassing the majority of Kern County. She was first elected to the California State Assembly in November 2010 as the first woman veteran to serve in that legislative body, and overwhelming elected to second and third terms in 2012, and 2014.

Shannon was born and raised in Kern County and graduated from Arvin High School. She joined the United States Army after high school and served in Frankfurt, Germany. She and her sister-in-law founded Continental Labor and Staffing Resources in 1993 and today Shannon presides as the company<'-TOKEN>s Chief Executive Officer.

This year, Shannon was named Vice Chair to the Assembly Committee on Elections and Redistricting, to oversee and protect the integrity California's election process.

Shannon<'-TOKEN>s committee assignments also include the Agriculture Committee, where she advocates for the preservation and prosperity of California's Bread Basket, and the Assembly Budget Committee, where she is an outspoken advocate for fiscal responsibility and restraint.

A longtime business owner, Shannon first became active in the political process to advocate for worker<'-TOKEN>s compensation reform. As a result of her two-year participation in promoting this change, she was honored with the California Legislature<'-TOKEN>s ""Small Business Award"" in 2005 by then-Assemblyman Kevin McCarthy.

Shannon is a member of the Brimhall Road Assembly of God. She resides in Bakersfield with her husband Rick, and they are the parents of 5 grown children."
Assembly Member,David Hadley,"Assemblyman David Hadley was elected to represent the 66th Assembly District (the South Bay) in November 2014. Born and raised in Fullerton, he attended Servite High School in Anaheim.  David completed his Bachelor<'-TOKEN>s degree at Dartmouth College and his Master<'-TOKEN>s degree at the London School of Economics.

David and his wife Suzanne moved to the South Bay eighteen years ago and in 1999 he founded Hadley Partners, Incorporated. (HPi). HPi is a financial advisory firm that specializes in representing entrepreneurial and family-owned businesses in the financing or sale of their companies. Since its founding, HPi has advised well over 100 businesses.  HPi clients have created thousands of jobs in part due to the help that David and his colleagues provided.

David chose to get involved in local politics, and ultimately to run for the California State Assembly, because while California continues to enjoy tremendous opportunities, we will be the first generation in the history of California to leave this state to our children in more precarious condition than we received it from our parents if we do not pursue common sense policies.  David is committed to ensuring that his children, and you and your children and grandchildren, have the same opportunities to build your futures in California that David and his brothers and sisters did.  California can once again be the Golden State.  David is committed to fight for every resident in the South Bay who is working to provide for his or her family, and to fight for every family that wants to make sure their children receive a quality education.

David and his wife Suzanne have been married for over 22 years and they are the proud parents of four children. Their 19-year-old son, Jack, is a cadet at the U.S. Military Academy at West Point. Their three daughters are Claire (17), Ellen (15) and Faith (13). Claire and Ellen are students at Mira Costa High School and Faith attends Manhattan Beach Middle School.

David coached Little League softball and baseball, and has spent time on most of the soccer, baseball and softball fields of the South Bay. Suzanne is responsible for the Hadley kids<'-TOKEN> musical instruction.

David and Suzanne are active in their local community, including supporting the Manhattan Beach Education Foundation and MBX (formerly the Manhattan Beach Athletic Foundation). In 2013 David founded the South Bay 100, a group of over 175 people dedicated to improving the political leadership of the South Bay.  In 2011-2012, David was a regular contributor of opinion articles to the editorial pages of the Daily Breeze, the Daily News and the Long Beach Press-Telegram.  The Hadley family attends Journey of Faith Church. Suzanne is a Neighborhood Watch Block Captain and was the Volunteer Chair of Circle of Love Pre-School at First Lutheran Church."
